"peaks","time","vol","treatment","Event","peak_red","time_diff","vol_red","City","Soil","Rain"
74.1606979370117,50,994.946371196418,"1%","1_month",-0.0237186622962587,0,0.95310478676336,"New_Orleans","low",1.3425
74.2105255126953,50,957.54207134441,"5%","1_month",-0.0909232538176756,0,4.6767022340422,"New_Orleans","low",1.3425
74.0028381347656,50,913.617347811219,"10%","1_month",0.189193633396535,0,9.04940775366816,"New_Orleans","low",1.3425
68.1518020629883,50,872.753027643036,"15%","1_month",8.08073729744726,0,13.1174501676437,"New_Orleans","low",1.3425
60.2110748291016,51,826.547877290721,"20%","1_month",18.7907371883723,5,17.7171721403511,"New_Orleans","low",1.3425
247.49543762207,49,2176.14707244179,"1%","6_month",-0.0606784998789329,0,0.417859310944204,"New_Orleans","low",2.685
248.071212768555,49,2139.90439140579,"5%","6_month",-0.293460374058646,0,2.07635188600045,"New_Orleans","low",2.685
248.754516601562,49,2094.86008519245,"10%","6_month",-0.569715345904772,0,4.13761350539309,"New_Orleans","low",2.685
249.360061645508,49,2051.9140002391,"15%","6_month",-0.814532981904716,0,6.10285892838273,"New_Orleans","low",2.685
249.716857910156,49,2008.85865470697,"20%","6_month",-0.958783222111008,0,8.07310419833403,"New_Orleans","low",2.685
544.176330566406,49,4463.56619810139,"1%","2yr",-0.103474188545556,0,0.182821130474969,"New_Orleans","low",5.37
544.2236328125,49,4427.24664586688,"5%","2yr",-0.112175631267214,0,0.995022648488823,"New_Orleans","low",5.37
543.877258300781,49,4384.25978216127,"10%","2yr",-0.0484586152086174,0,1.95632293465181,"New_Orleans","low",5.37
545.936828613281,49,4346.66830621785,"15%","2yr",-0.427325045143646,0,2.79696804030981,"New_Orleans","low",5.37
545.108276367188,49,4304.30714197184,"20%","2yr",-0.274909451664272,0,3.74427602701854,"New_Orleans","low",5.37
779.791687011719,49,7020.23182098993,"1%","10yr",-0.0140672960026804,0,0.0381219105254409,"New_Orleans","low",8.13
780.193786621094,49,7122.8890686035,"5%","10yr",-0.0656395531343767,0,-1.42362629560452,"New_Orleans","low",8.13
780.691955566406,49,7044.43391371053,"10%","10yr",-0.129533415112049,0,-0.306494436019319,"New_Orleans","low",8.13
781.1591796875,49,6917.20786025675,"15%","10yr",-0.189458373876945,0,1.50509178640816,"New_Orleans","low",8.13
781.618469238281,49,7002.40705265195,"20%","10yr",-0.248365665151386,0,0.291930811001839,"New_Orleans","low",8.13
1011.53942871094,49,10663.1113290799,"1%","50yr",-0.00718687708829015,0,0.380069841300748,"New_Orleans","low",11.9
1011.798828125,49,10636.6974989972,"5%","50yr",-0.0328327441119956,0,0.626840584553895,"New_Orleans","low",11.9
1012.09954833984,49,10603.148347079,"10%","50yr",-0.0625638468945359,0,0.940272946631969,"New_Orleans","low",11.9
1012.37329101562,49,10586.70098416,"15%","50yr",-0.0896277795066109,0,1.09393214559516,"New_Orleans","low",11.9
1012.63391113281,49,10515.8021235714,"20%","50yr",-0.115394332963369,0,1.7563035044037,"New_Orleans","low",11.9
1107.76721191406,49,12287.9175831238,"1%","100yr",-0.00204966740840383,0,0.101086560742662,"New_Orleans","low",13.8
1108.0283203125,49,12240.7786560995,"5%","100yr",-0.0256208426050479,0,0.484318915497922,"New_Orleans","low",13.8
1108.36755371094,49,12214.097489197,"10%","100yr",-0.0562446368413611,0,0.701232771309379,"New_Orleans","low",13.8
1108.6455078125,49,12140.9256065641,"15%","100yr",-0.0813365330184339,0,1.29610912199177,"New_Orleans","low",13.8
1108.92297363281,49,12107.5560318279,"20%","100yr",-0.106384350326509,0,1.56739872297781,"New_Orleans","low",13.8
46.0412216186523,49,685.877201299129,"1%","1_month",-0.271201963713569,0,1.38227808734647,"Atlanta","low",0.9375
45.8133392333984,49,648.68128316137,"5%","1_month",0.225093309792165,0,6.73043181551744,"Atlanta","low",0.9375
36.296199798584,50,597.515030148122,"10%","1_month",20.9520631171809,5,14.0872870972143,"Atlanta","low",0.9375
28.6431713104248,51,560.599309441332,"15%","1_month",37.619265641177,10,19.3951531000086,"Atlanta","low",0.9375
22.1916599273682,51,520.689743592045,"20%","1_month",51.6697355922088,10,25.1334841877381,"Atlanta","low",0.9375
163.034255981445,49,1488.04319722468,"1%","6_month",0.0168344623059639,0,0.626218921497641,"Atlanta","low",1.875
162.92529296875,49,1451.68916021467,"5%","6_month",0.0836576392525386,0,3.05399663782377,"Atlanta","low",1.875
162.616317749023,49,1406.84988420105,"10%","6_month",0.273141256391762,0,6.0484314812522,"Atlanta","low",1.875
161.977905273438,49,1365.49709095635,"15%","6_month",0.664657136558089,0,8.81003371870571,"Atlanta","low",1.875
156.329116821289,49,1326.16645235633,"20%","6_month",4.12886008886799,0,11.4365934027297,"Atlanta","low",1.875
417.049926757812,49,2972.89081212638,"1%","2yr",0.0808148310898377,0,0.321442716534434,"Atlanta","low",3.75
415.910400390625,49,2937.31065863232,"5%","2yr",0.353829016640778,0,1.51441568202164,"Atlanta","low",3.75
414.510009765625,49,2893.98307671306,"10%","2yr",0.689342539580294,0,2.96715348143124,"Atlanta","low",3.75
412.973815917969,49,2851.20475217479,"15%","2yr",1.0573925682965,0,4.40147513750614,"Atlanta","low",3.75
411.583953857422,49,2808.97202674908,"20%","2yr",1.39038359809153,0,5.81750330894526,"Atlanta","low",3.75
613.744079589844,49,4268.39401496758,"1%","10yr",0.0565534798628364,0,0.194105492063195,"Atlanta","low",5.16
612.886474609375,49,4233.41974378714,"5%","10yr",0.196207776093542,0,1.01189279278732,"Atlanta","low",5.16
