"vol.x","vol_high","HPC","HPD","no_flow","RBI","RBI_daily","soil","rain","ratio","HPC_red","HPD_red","RBI_red","baseline_vol","vol.y","precip","city","vol_red"
-6.91696816156815,9.14054095376601,30,288.75,237.520833333333,0.159637364293707,0.959284891610601,"high","Dry",0.1,42.3076923076923,-18.0981595092025,17.7603539451965,23.836,18.555,45.34,"New_Orleans",22.1555630139285
-6.32819665901118,9.58243108590951,48,408.5,161.53125,0.116051107950615,0.956177109317566,"high","Norm",0.1,43.5294117647059,-10.1078167115903,17.6972068066095,31.887,24.75,60.69,"New_Orleans",22.3821620095964
-4.4762012270396,4.40121465580832,52,550.25,175.96875,0.15638908712511,1.07655330249095,"high","Wet",0.1,38.8235294117647,-17.1367748802555,11.4191714957974,47.804,40.207,78.55,"New_Orleans",15.8919755668982
-5.49379889234675,9.7769839565571,33,197.75,240.302083333333,0.174697437494508,1.01107463354842,"med","Dry",0.1,36.5384615384615,19.120654396728,13.3204111466765,23.836,21.029,45.34,"New_Orleans",11.776304749119
-6.06134777879696,10.5850601532868,48,285.25,164.770833333333,0.129083497758912,1.00627413225564,"med","Norm",0.1,43.5294117647059,23.1132075471698,13.385113494295,31.887,27.835,60.69,"New_Orleans",12.7073729105905
-4.36709819015696,5.27856696545614,52,431.75,178.40625,0.169476552397715,1.11236940239075,"med","Wet",0.1,38.8235294117647,8.08940926024481,8.47215549986628,47.804,43.571,78.55,"New_Orleans",8.85490753911807
-6.3950188949818,6.20948414741869,37,211.5,244.072916666667,0.176956509333273,1.03047091112616,"low","Dry",0.1,28.8461538461538,13.4969325153374,11.6575651905638,23.836,21.755,45.34,"New_Orleans",8.73049169323712
-6.85456072352732,6.42786876199862,58,311.25,170.854166666667,0.132936848659193,1.03566452949943,"low","Norm",0.1,31.7647058823529,16.1051212938005,10.8553397079783,31.887,29.075,60.69,"New_Orleans",8.81864082541475
-5.02765506307075,2.97403588453562,65,424.75,182.770833333333,0.173479483567288,1.13222242678533,"low","Wet",0.1,23.5294117647059,9.57956359765833,6.83861135010844,47.804,45.004,78.55,"New_Orleans",5.85725043929379
-9.66010346973999,19.4511727253416,39,397,187.739583333333,0.0935607542470036,0.739914462151746,"high","Dry",0.1,53.0120481927711,-6.00801068090788,26.8543706385301,13.857,8.308,38.58,"Atlanta",40.0447427293065
-8.39569517979499,11.8891507788855,45,568,174.21875,0.118601970696714,0.856158533577775,"high","Norm",0.1,41.5584415584416,-11.701081612586,19.4544224022142,20.281,13.707,48.05,"Atlanta",32.4145752181845
-6.27594474502119,4.66782031818064,56,913,153.708333333333,0.096168868401195,0.798332214293461,"high","Wet",0.1,37.0786516853933,-19.1128506196999,18.591575233139,27.29,19.387,60.02,"Atlanta",28.9593257603518
-9.0052516550122,20.1447095562117,46,296.5,192.302083333333,0.109335961923839,0.784480552305282,"med","Dry",0.1,44.578313253012,20.8277703604806,22.4487063635265,13.857,10.224,38.58,"Atlanta",26.2177960597532
-7.41351627640532,13.9576297118622,47,438.5,176.020833333333,0.134328153401674,0.880525510641587,"med","Norm",0.1,38.961038961039,13.7659783677483,17.1620289202325,20.281,16.338,48.05,"Atlanta",19.4418421182387
-5.9565991019107,6.09293395328381,54,808.5,154.541666666667,0.111314572720027,0.826234684085236,"med","Wet",0.1,39.3258426966292,-5.47945205479452,15.7462733999121,27.29,22.779,60.02,"Atlanta",16.5298644192012
-10.8301514960414,13.9902340434543,50,306.5,197.21875,0.113954918669969,0.821462565368415,"low","Dry",0.1,39.7590361445783,18.1575433911883,18.7927802275643,13.857,11.121,38.58,"Atlanta",19.7445334487984
-7.97669104299511,8.9064191998149,49,442.5,183.375,0.139078095054638,0.917838890031011,"low","Norm",0.1,36.3636363636364,12.9793510324484,13.6516653868724,20.281,17.555,48.05,"Atlanta",13.4411518169715
-6.47761025733852,3.79610098001714,58,767.5,160.135416666667,0.116085605060521,0.860823758419708,"low","Wet",0.1,34.8314606741573,-0.130463144161774,12.2191176553512,27.29,24.328,60.02,"Atlanta",10.8537925980213
-4.97181027530967,27.6181251256226,31,421.75,211.041666666667,0.0189422205195694,0.474489448154805,"high","Dry",0.1,60.2564102564103,12.6359399274987,31.210512364391,6.351,2.124,28.22,"Seattle",66.5564478034955
-4.31017181850715,12.8911847201781,28,818.75,189.416666666667,0.0250173928939541,0.564543903403488,"high","Norm",0.1,64.1025641025641,6.21420389461627,22.7192421094614,10.256,4.839,36.48,"Seattle",52.8178627145086
-2.70185983327387,5.33992219154395,50,1121,186.041666666667,0.0325473873380586,0.653111169736192,"high","Wet",0.1,53.2710280373832,-5.7048561999057,15.705565675422,14.954,8.435,44.7,"Seattle",43.5936873077437
-5.55007013868068,30.8030634938764,33,371.25,209.760416666667,0.0252716067066318,0.481788131586101,"med","Dry",0.1,57.6923076923077,23.0968410150181,30.1523798904112,6.351,3.084,28.22,"Seattle",51.4407179971658
-3.86596614335967,13.0086579393549,31,805,190.072916666667,0.0306733063615962,0.578134198629462,"med","Norm",0.1,60.2564102564103,7.78923253150057,20.8588583400368,10.256,6.333,36.48,"Seattle",38.2507800312012
-2.91559396500908,5.82974055622588,47,1123.25,185.645833333333,0.0387085975614452,0.641915199270623,"med","Wet",0.1,56.0747663551402,-5.91702027345592,17.1505845953878,14.954,10.501,44.7,"Seattle",29.7779858231911
-6.5814875438731,25.8679372436762,40,341.75,211.072916666667,0.0308606136217299,0.538655109820845,"low","Dry",0.1,48.7179487179487,29.207664422579,21.9080441915548,6.351,3.921,28.22,"Seattle",38.2616910722721
