"event","vol","dur","avg_int","max_int","start","end","delta","year","RI","peak_out","peak_baseline","vol_out","vol_baseline","sub_peak","sub_vol","peak_red","vol_red","city","soil","ratio","rain"
99,0.49,7,0.07,0.49,2009-09-26 05:00:00,2009-09-26 11:00:00,39,2009,NA,23.9257106781006,30.3527946472168,198.742034912109,219.098888933659,-1.32021554651097,15.6439894169109,21.174603669338,9.29117172644044,"New_Orleans","low",0.1,"Wet"
101,1.3,4,0.325,1.3,2009-10-02 03:00:00,2009-10-02 06:00:00,129,2009,NA,106.64478302002,106.661346435547,763.555619060993,784.554062306881,-0.16264769583981,4.16297928818829,0.01552897659824,2.67648136116261,"New_Orleans","low",0.1,"Wet"
102,1.05,25,0.042,1.05,2009-10-04 09:00:00,2009-10-05 09:00:00,51,2009,NA,24.7159881591797,36.1282081604004,501.044474959373,532.10420691967,-0.960150704853334,12.0563666759562,31.5881151662802,5.83715211351178,"New_Orleans","low",0.1,"Wet"
105,0.19,2,0.095,0.19,2009-10-09 17:00:00,2009-10-09 18:00:00,26,2009,NA,1.85099649429321,5.06922674179077,155.127277255058,147.506647050381,52.9231818022908,56.2945005353194,63.4856243648844,-5.16629613448861,"New_Orleans","low",0.1,"Wet"
109,0.38,9,0.0422222222222222,0.38,2009-10-12 10:00:00,2009-10-12 18:00:00,18,2009,NA,5.15758371353149,12.2970561981201,243.758327841759,279.314702928066,12.42327196984,40.9080552548016,58.0583870607996,12.7298615910902,"New_Orleans","low",0.1,"Wet"
110,0.19,2,0.095,0.19,2009-10-13 13:00:00,2009-10-13 14:00:00,19,2009,NA,4.01393461227417,7.26007509231567,58.5901589393616,69.2814774513245,-4.2925555362531,31.2540231507999,44.7122163168441,15.4317126384528,"New_Orleans","low",0.1,"Wet"
111,0.2,2,0.1,0.2,2009-10-14 07:00:00,2009-10-14 08:00:00,17,2009,NA,5.70914554595947,8.54616355895996,64.2902321815491,71.4510678052902,-4.05153667144316,23.7174189487296,33.1963926670477,10.0220134473777,"New_Orleans","low",0.1,"Wet"
112,0.17,1,0.17,0.17,2009-10-14 14:00:00,2009-10-14 14:00:00,6,2009,NA,8.68371391296387,8.91808223724365,77.7060815095901,76.3702020645142,-3.85673822583108,9.91117551242474,2.62801259334678,-1.74921554344913,"New_Orleans","low",0.1,"Wet"
113,0.71,7,0.101428571428571,0.71,2009-10-15 23:00:00,2009-10-16 05:00:00,33,2009,NA,64.2467041015625,60.1535224914551,411.607968211174,403.199695885181,-2.07206726473761,-1.15393409183131,-6.80455847068452,-2.08538657439538,"New_Orleans","low",0.1,"Wet"
114,0.77,5,0.154,0.77,2009-10-22 16:00:00,2009-10-22 20:00:00,155,2009,NA,18.4916286468506,23.5479755401611,227.499678522348,249.151384592056,-11.4234203268667,11.429507878157,21.4725333168745,8.69018091356743,"New_Orleans","low",0.1,"Wet"
115,0.43,10,0.043,0.43,2009-10-26 21:00:00,2009-10-27 06:00:00,97,2009,NA,4.87650442123413,9.82620143890381,98.0455651879311,124.580991208553,32.2139847559345,42.5165064148212,50.3724358639024,21.2997390398034,"New_Orleans","low",0.1,"Wet"
117,0.4,11,0.0363636363636364,0.4,2009-10-30 16:00:00,2009-10-31 02:00:00,76,2009,NA,2.47537970542908,4.71730518341064,101.03891569376,134.537691801786,50.8363000935674,52.6146999756594,47.5255551806517,24.8991755837316,"New_Orleans","low",0.1,"Wet"
118,0.37,4,0.0925,0.37,2009-11-16 16:00:00,2009-11-16 19:00:00,398,2009,NA,1.62713420391083,16.1121006011963,17.6020864117017,68.2850493113847,34.1291264872984,50.7199180598291,89.9011665568299,74.2226349849511,"New_Orleans","low",0.1,"Wet"
119,0.29,7,0.0414285714285714,0.29,2009-11-21 07:00:00,2009-11-21 13:00:00,108,2009,NA,1.31103610992432,3.44925880432129,36.3062171563506,55.7582186193358,56.5688316303036,59.9180717254514,61.9907874618794,34.8863395292181,"New_Orleans","low",0.1,"Wet"
121,0.35,5,0.07,0.35,2009-11-30 10:00:00,2009-11-30 14:00:00,193,2009,NA,1.7518630027771,13.4720945358276,36.4338456727564,78.5962079125238,51.8932029256417,55.2434246602656,86.9963575588176,53.6442703275117,"New_Orleans","low",0.1,"Wet"
122,3.17,20,0.1585,3.17,2009-12-01 09:00:00,2009-12-02 04:00:00,19,2009,NA,78.7577743530273,78.7847137451172,2268.25988227129,2297.03692263365,-0.0082000972464307,1.28070423421953,0.0341936789628983,1.25278962992741,"New_Orleans","low",0.1,"Wet"
123,0.29,8,0.03625,0.29,2009-12-04 17:00:00,2009-12-05 00:00:00,61,2009,NA,2.61301636695862,4.89504766464233,97.6068027019501,132.114490270615,54.7486015872473,59.4338378658192,46.6191844089113,26.1195327613052,"New_Orleans","low",0.1,"Wet"
124,3.83,31,0.123548387096774,3.83,2009-12-07 07:00:00,2009-12-08 13:00:00,55,2009,NA,230.638412475586,230.491683959961,3230.99532234669,3265.18708878756,-0.0150339759375958,1.54466819219633,-0.0636589195341592,1.04716102052102,"New_Orleans","low",0.1,"Wet"
125,5.45,34,0.160294117647059,5.45,2009-12-11 16:00:00,2009-12-13 01:00:00,75,2009,1.6963036963037,412.534698486328,412.334167480469,4499.17826211452,4517.00560313463,-0.009783410174642,1.06989933155002,-0.0486331285822618,0.394671660529616,"New_Orleans","low",0.1,"Wet"
126,8.99,35,0.256857142857143,8.99,2009-12-14 08:00:00,2009-12-15 18:00:00,31,2009,12.1783035199077,288.286163330078,288.098754882812,8677.26598620415,8638.2455573082,-0.00380709992509069,0.356881039191353,-0.0650500719247661,-0.451717060334525,"New_Orleans","low",0.1,"Wet"
127,2.45,22,0.111363636363636,2.45,2009-12-17 09:00:00,2009-12-18 06:00:00,39,2009,NA,65.2504272460938,65.095588684082,2005.81569504738,2022.14639174938,-0.00619660470643763,1.62300544052062,-0.237863371607517,0.807592208389799,"New_Orleans","low",0.1,"Wet"
