"cum_vol_red","cum_peak_red","peak_diff","centroid_diff","ratio","rain","soil","city","peaks","time","vol","peak_red","time_diff","vol_red","storm_val"
0.0535463225874021,0.0669296224433281,0,-0.0062468049310904,"1%","100yr","low","New_Orleans",1107.76721191406,49,12287.9175831238,-0.00204966740840383,0,0.101086560742662,13.8
0.324998911985977,0.332236915540853,0,-0.0401568582565801,"5%","100yr","low","New_Orleans",1108.0283203125,49,12240.7786560995,-0.0256208426050479,0,0.484318915497922,13.8
0.6614144534202,0.657216305427907,0,-0.0784248669258633,"10%","100yr","low","New_Orleans",1108.36755371094,49,12214.097489197,-0.0562446368413611,0,0.701232771309379,13.8
0.980374067353087,0.974370048727848,0,-0.110177092193858,"15%","100yr","low","New_Orleans",1108.6455078125,49,12140.9256065641,-0.0813365330184339,0,1.29610912199177,13.8
1.33912092187813,1.28324224462587,0,-0.143711474520533,"20%","100yr","low","New_Orleans",1108.92297363281,49,12107.5560318279,-0.106384350326509,0,1.56739872297781,13.8
0.0749443150265985,0.0691331954739011,0,-0.00957747279201478,"1%","50yr","low","New_Orleans",1011.53942871094,49,10663.1113290799,-0.00718687708829015,0,0.380069841300748,11.9
0.356292261307733,0.343331715181206,0,-0.0434258592795547,"5%","50yr","low","New_Orleans",1011.798828125,49,10636.6974989972,-0.0328327441119956,0,0.626840584553895,11.9
0.771117857181322,0.679573210297624,0,-0.0907758812058851,"10%","50yr","low","New_Orleans",1012.09954833984,49,10603.148347079,-0.0625638468945359,0,0.940272946631969,11.9
1.11389156015912,1.00809842027698,0,-0.122954547831385,"15%","50yr","low","New_Orleans",1012.37329101562,49,10586.70098416,-0.0896277795066109,0,1.09393214559516,11.9
1.49783933722855,1.32839257029057,0,-0.156364136979943,"20%","50yr","low","New_Orleans",1012.63391113281,49,10515.8021235714,-0.115394332963369,0,1.7563035044037,11.9
0.116831213111979,0.0738537868952118,0,-0.0156540965356878,"1%","10yr","low","New_Orleans",779.791687011719,49,7020.23182098993,-0.0140672960026804,0,0.0381219105254409,8.13
0.607063676307886,0.367251688087144,0,-0.0771878566669891,"5%","10yr","low","New_Orleans",780.193786621094,49,7122.8890686035,-0.0656395531343767,0,-1.42362629560452,8.13
1.18028944181539,0.728208358599535,0,-0.137157870472906,"10%","10yr","low","New_Orleans",780.691955566406,49,7044.43391371053,-0.129533415112049,0,-0.306494436019319,8.13
1.76622707940819,1.08211637812912,0,-0.187827480763089,"15%","10yr","low","New_Orleans",781.1591796875,49,6917.20786025675,-0.189458373876945,0,1.50509178640816,8.13
2.41628787270755,1.42829774514623,0,-0.234677315102168,"20%","10yr","low","New_Orleans",781.618469238281,49,7002.40705265195,-0.248365665151386,0,0.291930811001839,8.13
0.174636843125177,0.076864052170381,0,-0.022580100425298,"1%","2yr","low","New_Orleans",544.176330566406,49,4463.56619810139,-0.103474188545556,0,0.182821130474969,5.37
0.983997607324524,0.382978483955963,0,-0.118037491811289,"5%","2yr","low","New_Orleans",544.2236328125,49,4427.24664586688,-0.112175631267214,0,0.995022648488823,5.37
2.00713976395198,0.761375166781118,0,-0.209782015028094,"10%","2yr","low","New_Orleans",543.877258300781,49,4384.25978216127,-0.0484586152086174,0,1.95632293465181,5.37
2.94857372933845,1.13430797791671,0,-0.269869993250874,"15%","2yr","low","New_Orleans",545.936828613281,49,4346.66830621785,-0.427325045143646,0,2.79696804030981,5.37
3.9072245199442,1.50090588069042,0,-0.316506244573236,"20%","2yr","low","New_Orleans",545.108276367188,49,4304.30714197184,-0.274909451664272,0,3.74427602701854,5.37
0.474025936553395,0.0792367756830521,0,-0.0489164939274442,"1%","6_month","low","New_Orleans",247.49543762207,49,2176.14707244179,-0.0606784998789329,0,0.417859310944204,2.685
2.4590152578004,0.3975289044474,0,-0.208358474811267,"5%","6_month","low","New_Orleans",248.071212768555,49,2139.90439140579,-0.293460374058646,0,2.07635188600045,2.685
4.92564560853369,0.797275166475784,0,-0.317810640881823,"10%","6_month","low","New_Orleans",248.754516601562,49,2094.86008519245,-0.569715345904772,0,4.13761350539309,2.685
7.26989493413914,1.19808282017923,0,-0.370192805183849,"15%","6_month","low","New_Orleans",249.360061645508,49,2051.9140002391,-0.814532981904716,0,6.10285892838273,2.685
9.73665860925865,1.59883247590785,0,-0.397335297587731,"20%","6_month","low","New_Orleans",249.716857910156,49,2008.85865470697,-0.958783222111008,0,8.07310419833403,2.685
1.32940103647415,0.0105592143295001,0,-0.102527490499475,"1%","1_month","low","New_Orleans",74.1606979370117,50,994.946371196418,-0.0237186622962587,0,0.95310478676336,1.3425
6.65095760979812,0.0662370844663113,0.00130890052356021,-0.326321358109732,"5%","1_month","low","New_Orleans",74.2105255126953,50,957.54207134441,-0.0909232538176756,0,4.6767022340422,1.3425
14.1733987641292,0.164319984924995,0.00130890052356021,-0.40750473466209,"10%","1_month","low","New_Orleans",74.0028381347656,50,913.617347811219,0.189193633396535,0,9.04940775366816,1.3425
19.9113403221344,0.296973791990596,0.00130890052356021,-0.362770515017305,"15%","1_month","low","New_Orleans",68.1518020629883,50,872.753027643036,8.08073729744726,0,13.1174501676437,1.3425
21.2505251374422,0.455728656590993,0.00261780104712042,-0.250807991085508,"20%","1_month","low","New_Orleans",60.2110748291016,51,826.547877290721,18.7907371883723,5,17.7171721403511,1.3425
0.0831977959891809,-0.0256980850462145,0,-0.0131149530337812,"1%","100yr","low","Atlanta",844.898864746094,49,6816.39571980433,0.0252702486624246,0,0.00684599290739394,7.75
