"surface_runoff","drain","tot_runoff","tot_inflow","high_intensity_runoff","tot_outflow_ft3","sat_outflow_ft3","n_intense_outflow","n_sat_outflow","n_events","city","rain","soil","ratio","frac_high_intensity","frac_intense_events","frac_sat","frac_sat_events","frac_outflow_tot","Fall_sat","Spring_sat","Summer_sat","Winter_sat","Fall_intense","Spring_intense","Summer_intense","Winter_intense","delta_mean","delta_med","dur_mean","dur_med","int_mean","int_med","tot_precip"
61543.3565333333,36274.9506666667,97818.3072,139398.881416667,25358.6689333333,9351306.35512084,0,15,0,129,"New_Orleans","Wet","high",0.1,0.259242565724275,0.116279069767442,0,0,0.701715151555762,0,0,0,0,891.32415,3665.53585,7933.78578333333,12868.02315,63.6640625,26.5,5.06976744186047,3,0.157414829659319,0.05,78.55
33681.1524166667,28335.8372166667,62016.9896333333,106621.336066667,15009.89185,5929586.38055872,70007.62212466,21,1,123,"New_Orleans","Norm","high",0.1,0.242028707596803,0.170731707317073,0.0118064933423001,0.00813008130081301,0.581656466905988,70007.62212466,0,0,0,8133.00908333333,2916.68721666667,2620.93865,1339.2569,66.7704918032787,34,4.39837398373984,3,0.131363636363636,0.06,60.69
24908.1836333333,21492.6246666667,46400.8083,78343.7627,17646.2055,4437363.70388201,1865.316577685,16,2,107,"New_Orleans","Dry","high",0.1,0.380299528101109,0.149532710280374,0.000420365942970402,0.0186915887850467,0.592271888672,1865.316577685,0,0,0,1423.11281666667,2440.48686666667,11668.6028,2114.00301666667,76.9622641509434,35,3.89719626168224,2,0.131040462427746,0.05,45.34
92881.41555,5497.28546666667,98378.7010166667,139398.881416667,58809.3845333333,9404783.42624331,897572.932974355,43,16,129,"New_Orleans","Wet","med",0.1,0.59778573944954,0.333333333333333,0.0954379162490598,0.124031007751938,0.705735225540371,877418.423209955,4514.64209328,15639.86767112,0,5493.216,8528.62983333333,18478.16,26309.3787,63.6640625,26.5,5.06976744186047,3,0.157414829659319,0.05,78.55
62386.65555,1597.10288333333,63983.7584333333,106621.33595,61063.6592,6118289.04807857,369635.6274281,46,11,123,"New_Orleans","Norm","med",0.1,0.954361867685908,0.373983739837398,0.0604148683600006,0.0894308943089431,0.600102764266042,4415.04040483,0,365128.239025275,92.3479979949997,39075.32055,7472.37965,9456.96173333333,5058.99726666667,66.7704918032787,34,4.39837398373984,3,0.131363636363636,0.06,60.69
47877.4647,873.11765,48750.58235,78343.7628,46396.6897333333,4659336.25875014,204953.918715975,31,6,107,"New_Orleans","Dry","med",0.1,0.951715600035972,0.289719626168224,0.0439877929675231,0.0560747663551402,0.622265010099821,131552.44081265,503.65009629,72897.827807035,0,6647.61671666667,8170.49343333333,24490.0312333333,7088.54835,76.9622641509434,35,3.89719626168224,2,0.131040462427746,0.05,45.34
106065.828016667,94.6833166666667,106160.511333333,139398.881466667,83259.9264666667,10145571.0129783,5871962.80680345,63,47,129,"New_Orleans","Wet","low",0.1,0.784283397102703,0.488372093023256,0.578771051850306,0.364341085271318,0.761559276633928,1259457.61153157,16584.04667942,606686.80158416,3989234.34700829,15734.67975,9829.7918,21246.3883333333,36449.0665833333,63.6640625,26.5,5.06976744186047,3,0.157414829659319,0.05,78.55
73967.0833833333,0.5758,73967.6591833333,106621.336183333,72531.0462333333,7070696.08004859,698806.36159554,60,16,123,"New_Orleans","Norm","low",0.1,0.980577823255982,0.48780487804878,0.0988313390484092,0.130081300813008,0.693741626499103,344328.98708736,0,199424.38934836,155052.98515982,42086.0753833333,9210.79458333333,14072.9720166667,7161.20425,66.7704918032787,34,4.39837398373984,3,0.131363636363636,0.06,60.69
54620.0451833333,62.9358,54682.9809833333,78343.7627666667,54394.3315,5227581.0714099,832777.921358185,38,20,107,"New_Orleans","Dry","low",0.1,0.994721401830282,0.355140186915888,0.159304640135133,0.186915887850467,0.697987677030488,3679.25517234,0,551723.006778295,277375.65940755,9640.06323333333,9309.84281666667,27346.48285,8097.9426,76.9622641509434,35,3.89719626168224,2,0.131040462427746,0.05,45.34
24124.06735,36186.44755,60310.5149,104386.299183333,9657.33223333333,5767918.05457367,74359.279026285,13,1,121,"Atlanta","Wet","high",0.1,0.160126841054931,0.107438016528926,0.0128918750791409,0.00826446280991736,0.577762746374185,0,0,0,74359.279026285,0,2023.15518333333,6528.72988333333,1105.44716666667,66.9416666666667,35.5,6.66942148760331,4,0.0946687697160883,0.04,60.02
